Team,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend,MP.1
Utah St,110.0,22.0,,1235.25,566.25,3648.0,0.1815,1169.25,128.0,173.75,1464.25,166.0,32.0,449.0,44.25,1596.0,31.5,21.0,,
Utah Valley,122.5,29.0,,1505.75,628.25,4284.75,0.20474999999999993,1398.0,128.0,183.75,1762.75,180.25,37.0,612.75,51.5,1943.625,36.75,29.0,,
Utah,131.0,19.0,,1843.5,688.0,4617.25,0.25025,1733.5,154.25,216.5,1928.75,123.0,53.0,520.25,68.0,2295.875,25.25,19.0,,
UTEP,105.75,6.0,,1208.5,600.25,3631.5,0.16825,1122.0,118.75,184.5,1454.0,143.5,44.5,323.25,48.0,1533.375,32.75,6.0,,
UTRGV,120.0,25.0,,1513.0,597.25,4240.5,0.21549999999999997,1420.0,157.75,217.75,1857.25,146.0,40.0,443.5,43.0,1900.125,59.25,25.0,,
UTSA,110.25,12.0,,1454.5,575.75,3967.5,0.22224999999999998,1374.75,174.25,263.5,1656.5,128.75,41.5,304.5,46.25,1787.75,25.75,12.0,,
Valparaiso,130.25,28.0,,1631.75,695.5,5153.75,0.18074999999999997,1522.0,141.5,182.5,2358.5,128.25,64.5,431.25,66.75,2021.375,33.25,28.0,,
VCU,114.0,18.0,,1416.75,562.5,3783.25,0.2265,1326.75,164.0,221.0,1523.5,127.5,53.0,575.5,54.25,1882.75,40.25,18.0,,
Villanova,111.25,6.0,,1470.5,510.75,4006.5,0.24075,1363.75,158.75,270.5,1753.5,145.5,46.75,308.0,36.0,1830.0,17.0,6.0,,
Virginia Tech,114.75,26.0,,1392.25,639.75,3913.75,0.19325000000000003,1300.5,122.5,213.75,1620.25,149.75,39.75,332.5,51.0,1679.5,33.0,26.0,,
Virginia,111.75,27.0,,1361.75,624.0,3795.75,0.19449999999999995,1281.5,130.25,223.0,1491.0,156.75,52.25,388.0,60.75,1695.125,37.75,27.0,,
Wake Forest,115.0,11.0,,1395.0,672.5,3841.0,0.18874999999999997,1291.0,130.0,262.0,1487.0,159.75,69.5,352.5,73.75,1770.75,46.5,11.0,,
Washington St,126.75,28.0,,1617.25,654.5,4368.5,0.22024999999999997,1485.5,151.0,239.5,1823.75,122.0,68.0,584.75,64.75,2093.875,19.75,28.0,,
Washington,123.75,14.0,,1694.25,592.25,4336.75,0.254,1572.0,188.5,236.5,1780.5,122.75,55.5,563.75,81.25,2193.5,25.5,14.0,,
Weber St,112.5,12.0,,1417.75,536.75,3989.25,0.21974999999999997,1335.0,154.75,184.25,1763.25,129.5,55.0,488.0,61.25,1871.5,37.25,12.0,,
West Virginia,115.25,4.0,,1447.75,663.0,3985.0,0.1965,1352.5,119.75,241.5,1563.75,136.25,37.25,444.5,72.5,1809.75,29.5,4.0,,
Western Caro,110.0,25.0,,1323.25,563.0,4133.75,0.1835,1211.5,125.5,167.25,1844.0,140.75,53.5,315.0,52.25,1621.0,24.25,25.0,,
Western Ill,109.75,17.0,,1148.75,596.5,3766.75,0.14774999999999994,1069.0,129.25,217.5,1597.0,169.25,45.25,338.75,43.75,1464.375,42.25,17.0,,
Western Ky,118.0,9.0,,1625.75,503.5,3809.75,0.29475,1522.0,182.75,274.75,1641.75,129.25,88.0,340.25,48.75,2020.125,28.25,9.0,,
Western Mich,117.0,9.0,,1524.75,618.75,4240.25,0.21374999999999997,1407.75,126.0,234.25,1845.25,141.0,81.0,291.75,30.75,1877.625,33.75,9.0,,
Wichita St,113.5,15.0,,1529.25,536.0,4088.25,0.24324999999999997,1440.5,112.0,182.0,1852.0,97.0,41.25,388.75,51.5,1876.875,23.25,15.0,,
William & Mary,102.25,17.0,,1176.75,577.5,3470.25,0.17124999999999999,1100.0,113.5,156.5,1469.25,165.75,40.75,291.25,33.0,1476.625,36.75,17.0,,
Winthrop,115.5,7.0,,1475.25,645.0,4196.0,0.19799999999999995,1367.5,163.5,204.5,1855.5,164.5,55.25,326.5,43.0,1857.25,32.5,7.0,,
Wisconsin,117.0,22.0,,1662.75,515.25,4024.5,0.28575,1581.5,149.0,244.25,1741.25,93.25,34.5,536.0,39.0,2114.25,20.25,22.0,,
Wofford,118.75,18.0,,1503.5,703.5,4147.5,0.193,1400.25,169.25,276.5,1727.75,171.5,53.5,333.0,73.75,1892.75,34.5,18.0,,
Wright St,109.25,8.0,,1371.5,614.25,4168.5,0.181,1282.0,136.0,193.0,1919.0,127.75,38.75,414.5,53.0,1699.25,24.0,8.0,,
Wyoming,115.75,12.0,,1455.0,555.75,3896.0,0.22974999999999998,1337.25,121.5,206.25,1589.5,134.75,55.25,497.75,49.5,1853.5,27.5,12.0,,
Xavier,113.5,7.0,,1446.0,608.25,4070.25,0.2045,1353.0,113.25,176.0,1711.0,148.5,57.75,397.25,57.0,1769.375,28.75,7.0,,
Yale,84.25,9.0,,1116.5,431.0,3026.0,0.22674999999999998,1035.25,119.75,155.75,1314.25,77.5,47.5,261.25,37.5,1414.375,16.75,9.0,,
Youngstown St,105.25,5.0,,1216.0,617.75,3879.75,0.15425,1137.75,139.75,198.5,1623.75,147.0,43.25,313.75,65.0,1542.375,44.25,5.0,,
