Team,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend,MP.1
North Carolina,108.5,10.0,,1367.25,559.25,3708.25,0.2145,1271.75,119.25,201.75,1488.0,115.0,36.0,522.0,56.25,1783.5,28.5,10.0,,
North Dakota St,110.25,26.0,,1345.5,618.25,4090.0,0.177,1251.5,137.5,145.5,1887.0,140.75,67.5,295.5,63.0,1675.0,30.0,26.0,,
North Dakota,124.0,11.0,,1553.25,584.0,4532.75,0.21199999999999997,1450.5,133.0,176.75,2102.75,143.5,69.0,436.75,49.5,1945.375,31.75,11.0,,
North Florida,120.5,33.0,,1508.5,648.75,4270.5,0.20099999999999996,1420.75,145.0,244.0,1764.25,158.75,51.0,386.5,47.25,1873.5,57.25,33.0,,
North Texas,121.0,18.0,,1630.0,607.75,4318.75,0.2365,1503.5,144.0,191.5,1792.75,141.5,54.75,391.25,49.25,1989.0,24.25,18.0,,
Northeastern,112.25,6.0,,1454.75,650.5,4107.5,0.19624999999999998,1356.75,153.75,201.0,1798.75,137.75,43.5,327.0,40.25,1815.5,31.75,6.0,,
Northern Ariz,119.5,9.0,,1537.0,471.0,4396.25,0.24175,1454.75,196.5,260.0,2045.75,135.0,55.5,428.75,54.75,1975.375,27.0,9.0,,
Northern Colo,114.5,23.0,,1545.25,635.0,4217.0,0.2152499999999999,1445.25,159.25,241.0,1816.25,119.5,58.0,242.75,47.25,1828.625,32.0,23.0,,
Northern Ill,114.5,25.0,,1358.5,604.0,3928.25,0.19374999999999998,1257.5,132.0,174.0,1630.5,163.5,49.0,355.75,62.25,1653.875,22.25,25.0,,
Northern Ky,113.0,1.0,,1513.5,619.0,4401.5,0.20299999999999999,1426.0,154.5,187.0,2014.5,115.5,32.25,396.5,41.75,1898.5,18.75,1.0,,
Northwestern St,115.25,24.0,,1415.0,635.0,4177.5,0.18724999999999997,1317.75,164.75,275.75,1841.0,128.0,40.0,332.0,39.75,1785.75,47.0,24.0,,
Northwestern,112.75,24.0,,1411.25,605.25,3758.5,0.21474999999999997,1316.5,141.75,250.75,1461.75,159.0,59.25,347.5,49.5,1737.0,32.5,24.0,,
Notre Dame,114.25,23.0,,1439.25,561.75,4352.75,0.20199999999999996,1347.5,170.5,241.5,1882.75,94.0,36.25,503.5,59.5,1842.5,26.75,23.0,,
N,96.125,9.0,,1039.375,563.875,3158.0,0.146125,954.5,133.375,192.375,1305.875,158.75,47.5,265.375,42.75,1352.9375,36.25,9.0,,
Oakland,112.5,7.0,,1414.75,627.5,3976.25,0.19849999999999995,1334.75,137.25,198.75,1768.5,143.75,44.0,453.0,51.0,1802.125,33.0,7.0,,
Ohio St,119.75,7.0,,1604.75,671.75,4191.0,0.22275,1496.25,145.5,271.0,1723.5,145.25,56.5,346.5,61.5,1958.0,22.5,7.0,,
Ohio,117.5,24.0,,1506.25,637.0,4298.75,0.20299999999999993,1415.5,163.0,274.5,1820.5,134.75,69.0,350.75,42.25,1899.375,18.25,24.0,,
Oklahoma,108.0,6.0,,1408.25,600.0,3845.25,0.21050000000000002,1318.5,105.0,184.25,1617.0,108.75,39.75,400.0,45.5,1753.0,17.5,6.0,,
Ole Miss,126.0,7.0,,1621.25,670.5,4438.25,0.214,1505.0,129.5,201.25,1954.25,131.5,88.0,349.75,32.25,2013.625,22.0,7.0,,
Omaha,115.25,25.0,,1480.5,646.75,4190.0,0.19875,1381.0,164.75,304.25,1758.75,144.75,44.0,351.25,53.75,1807.5,31.75,25.0,,
Oral Roberts,114.75,28.0,,1443.5,621.5,4053.0,0.20475,1357.0,150.75,223.5,1734.5,147.5,31.5,341.5,55.25,1744.0,33.0,28.0,,
Oregon St,120.0,28.0,,1529.25,655.25,4435.25,0.19724999999999998,1424.5,130.0,205.0,1840.25,125.5,61.0,427.0,53.75,1904.625,28.25,28.0,,
Oregon,117.25,23.0,,1634.0,569.25,4179.75,0.2545,1531.5,148.75,232.0,1774.75,124.25,49.0,453.25,57.75,2031.375,35.5,23.0,,
Pacific,115.5,21.0,,1523.0,685.5,4104.0,0.205,1432.0,158.75,266.75,1698.0,128.0,33.5,349.75,43.25,1890.125,39.25,21.0,,
Penn St,119.75,7.0,,1659.25,501.0,3931.5,0.29524999999999996,1552.25,158.75,236.75,1628.75,90.5,79.25,493.25,45.0,2143.875,14.25,7.0,,
Penn,90.75,15.0,,1093.0,467.25,3141.0,0.19974999999999998,1004.75,110.75,179.0,1320.5,139.75,28.5,251.0,42.75,1357.75,26.5,15.0,,
Pepperdine,115.25,7.0,,1516.5,573.25,4154.25,0.22799999999999998,1414.75,163.75,249.5,1756.25,132.25,42.25,453.75,39.25,1930.125,25.5,7.0,,
Pittsburgh,117.25,7.0,,1691.75,614.0,3951.0,0.27349999999999997,1586.5,172.25,225.75,1607.5,107.75,41.5,482.0,53.25,2146.5,42.25,7.0,,
