Cenário,Retirada de Outliers,Normalização,Feature Engineering,eps,min_samples,metric,algorithm,n_clusters_kmeans,init,max_iter,n_clusters_agg,linkage,Silhouette Index,Davies Bouldin
1,True,True,False,,,,,8.0,k-means++,300.0,,,0.2883713935985858,1.09538920747282
1,True,True,False,,,,,8.0,k-means++,500.0,,,0.2883713935985858,1.09538920747282
1,True,True,False,,,,,8.0,random,100.0,,,0.2811740331790497,1.1089167400686857
1,True,True,False,,,,,8.0,random,300.0,,,0.2811740331790497,1.1089167400686857
1,True,True,False,,,,,8.0,random,500.0,,,0.2811740331790497,1.1089167400686857
1,True,True,False,,,,,9.0,k-means++,100.0,,,0.2780226053389952,1.1678163377761708
1,True,True,False,,,,,9.0,k-means++,300.0,,,0.2780226053389952,1.1678163377761708
1,True,True,False,,,,,9.0,k-means++,500.0,,,0.2780226053389952,1.1678163377761708
1,True,True,False,,,,,9.0,random,100.0,,,0.2916382883827883,1.0673113498129818
1,True,True,False,,,,,9.0,random,300.0,,,0.2916382883827883,1.0673113498129818
1,True,True,False,,,,,9.0,random,500.0,,,0.2916382883827883,1.0673113498129818
3,True,True,True,0.02,3.0,euclidean,auto,,,,,,0.978977017743634,1.279791083820071
3,True,True,True,0.02,3.0,euclidean,ball_tree,,,,,,0.978977017743634,1.279791083820071
3,True,True,True,0.02,3.0,euclidean,kd_tree,,,,,,0.978977017743634,1.279791083820071
3,True,True,True,0.02,3.0,euclidean,brute,,,,,,0.978977017743634,1.279791083820071
3,True,True,True,0.02,3.0,manhattan,auto,,,,,,0.978977017743634,1.279791083820071
3,True,True,True,0.02,3.0,manhattan,ball_tree,,,,,,0.978977017743634,1.279791083820071
3,True,True,True,0.02,3.0,manhattan,kd_tree,,,,,,0.978977017743634,1.279791083820071
3,True,True,True,0.02,3.0,manhattan,brute,,,,,,0.978977017743634,1.279791083820071
3,True,True,True,0.02,3.0,cosine,auto,,,,,,,
3,True,True,True,0.02,3.0,cosine,brute,,,,,,,
3,True,True,True,0.02,4.0,euclidean,auto,,,,,,0.9662043895554066,1.2919891279561415
3,True,True,True,0.02,4.0,euclidean,ball_tree,,,,,,0.9662043895554066,1.2919891279561415
3,True,True,True,0.02,4.0,euclidean,kd_tree,,,,,,0.9662043895554066,1.2919891279561415
3,True,True,True,0.02,4.0,euclidean,brute,,,,,,0.9662043895554066,1.2919891279561415
3,True,True,True,0.02,4.0,manhattan,auto,,,,,,0.9662043895554066,1.2919891279561415
3,True,True,True,0.02,4.0,manhattan,ball_tree,,,,,,0.9662043895554066,1.2919891279561415
3,True,True,True,0.02,4.0,manhattan,kd_tree,,,,,,0.9662043895554066,1.2919891279561415
